pdb_code,protein,family,species,preferred_chain,resolution,publication_date,type,state,distance,publication,ligands,signalling_protein
5TE3,opsd_bovin,001_009_001_001,Bos taurus,A,2.7,2017-03-15,X-ray diffraction,Active,7.98,https://dx.doi.org/10.1073/PNAS.1617446114,"[{'name': 'B-Octylglucoside', 'type': 'small molecule', 'function': 'unknown'}]",
4GRV,ntr1_rat,001_002_021_001,Rattus norvegicus,A,2.8,2012-10-17,X-ray diffraction,Active,7.34,https://dx.doi.org/10.1038/NATURE11558,"[{'name': 'Neurotensin (8-13)', 'type': 'peptide', 'function': 'Agonist'}]",
6P9X,crfr1_human,002_001_002_001,Homo sapiens,R,2.91,2020-02-05,Electron microscopy,Active,6.46,https://dx.doi.org/10.1016/J.MOLCEL.2020.01.012,"[{'name': 'Corticoliberin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
4UG2,aa2ar_human,001_006_001_002,Homo sapiens,A,2.6,2015-04-08,X-ray diffraction,Active,5.86,https://dx.doi.org/10.1124/MOL.114.097360,"[{'name': 'CGS-21680', 'type': 'small molecule', 'function': 'Agonist'}]",
6AKX,ccr5_human,001_003_002_005,Homo sapiens,B,2.8,2018-10-24,X-ray diffraction,Inactive,0.71,https://dx.doi.org/10.1021/ACS.JMEDCHEM.8B01077,"[{'name': 'N-[(1S)-3-{(3-exo)-3-[3-methyl-5-(propan-2-yl)-4H-1,2,4-triazol-4-yl]-8-azabicyclo[3.2.1]octan-8-yl}-1-(thiophen-2-yl)propyl]cyclopentanecarboxamide', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PEL,opsd_bovin,001_009_001_001,Bos taurus,A,3.19,2020-06-24,X-ray diffraction,Active,8.17,,"[{'name': 'Citronellol', 'type': 'small molecule', 'function': 'unknown'}]",
6TP6,ox1r_human,001_002_023_001,Homo sapiens,B,2.34,2020-01-01,X-ray diffraction,Inactive,-0.98,https://dx.doi.org/10.1021/ACS.JMEDCHEM.9B01787,"[{'name': 'Filorexant', 'type': 'small molecule', 'function': 'Antagonist'}]",
5ZK8,acm2_human,001_001_002_002,Homo sapiens,A,3.0,2018-11-21,X-ray diffraction,Inactive,1.0,https://dx.doi.org/10.1038/S41589-018-0152-Y,"[{'name': 'N-methyl scopolamine', 'type': 'small molecule', 'function': 'Antagonist'}]",
7CA5,gabr2_human,004_002_001_003,Homo sapiens,B,7.6,2020-11-11,Electron microscopy,Intermediate,2.56,https://dx.doi.org/10.1016/J.JMB.2020.09.023,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
6S0Q,aa2ar_human,001_006_001_002,Homo sapiens,A,2.65,2020-07-15,X-ray diffraction,Inactive,-0.64,,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
6UOA,gabr2_human,004_002_001_003,Homo sapiens,B,6.3,2020-06-10,Electron microscopy,Inactive,1.46,https://dx.doi.org/10.1038/S41586-020-2408-4,"[{'name': '(R)-(3-aminopropyl)methylphosphinic acid', 'type': 'small molecule', 'function': 'Agonist'}]",
6FK7,opsd_bovin,001_009_001_001,Bos taurus,A,2.62,2018-04-04,X-ray diffraction,Active,7.68,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""(2~{R},3~{R})-2-(4-chlorophenyl)-3-oxidanyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one"", 'type': 'small molecule', 'function': 'Agonist'}]",
7LCJ,glp1r_human,002_001_003_003,Homo sapiens,R,2.82,2021-01-20,Electron microscopy,Active,7.23,,"[{'name': 'PF-06882961', 'type': 'small molecule', 'function': 'Agonist'}]",
6FK8,opsd_bovin,001_009_001_001,Bos taurus,A,2.87,2018-04-04,X-ray diffraction,Active,7.94,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""(2~{R},3~{S})-3-azanyl-2-(4-chlorophenyl)-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one"", 'type': 'small molecule', 'function': 'Agonist'}]",
4MBS,ccr5_human,001_003_002_005,Homo sapiens,A,2.71,2013-09-11,X-ray diffraction,Inactive,0.46,https://dx.doi.org/10.1126/SCIENCE.1241475,"[{'name': 'Maraviroc', 'type': 'small molecule', 'function': 'Antagonist'}]",
7EPA,grm2_human,004_002_002_002,Homo sapiens,A,3.6,2021-06-23,Electron microscopy,Inactive,5.8,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
6BQG,5ht2c_human,001_001_001_008,Homo sapiens,A,3.0,2018-02-14,X-ray diffraction,Active,7.92,https://dx.doi.org/10.1016/J.CELL.2018.01.001,"[{'name': 'Ergotamine', 'type': 'small molecule', 'function': 'Agonist'}]",
5NM2,aa2ar_human,001_006_001_002,Homo sapiens,A,1.95,2017-09-27,X-ray diffraction,Inactive,-0.83,https://dx.doi.org/10.1038/S41467-017-00630-4,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
7EPF,grm2_human,004_002_002_002,Homo sapiens,A,2.7,2021-06-23,X-ray diffraction,Inactive,4.98,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': '(8~{R})-4-[2,4-Bis(fluoranyl)phenyl]-8-methyl-7-[(2-methylpyrazol-3-yl)methyl]-6,8-dihydro-5~{H}-1,7-naphthyridine-2-carboxamide', 'type': 'small molecule', 'function': 'NAM'}]",
7LCK,glp1r_human,002_001_003_003,Homo sapiens,R,3.24,2021-01-20,Electron microscopy,Active,6.53,,"[{'name': 'PF-06882961', 'type': 'small molecule', 'function': 'Agonist'}]",
6ZDR,aa2ar_human,001_006_001_002,Homo sapiens,A,1.92,2020-09-16,X-ray diffraction,Inactive,-0.63,https://dx.doi.org/10.1002/ANIE.202003788,"[{'name': '3-(4-Methyl-2-thiazolyl)-6-propyl-7-acetoxychromone', 'type': 'small molecule', 'function': 'Antagonist'}]",
6KPC,cnr2_human,001_004_005_002,Homo sapiens,A,3.2,2020-02-12,X-ray diffraction,Inactive,-0.05,https://dx.doi.org/10.1016/J.CELL.2020.01.008,"[{'name': '(6Ar,9R,10aR)-9-(hydroxymethyl)-3-(8-isothiocyanato-2-methyloctan-2-yl)-6,6-dimethyl-6a,7,8,9,10,10a-hexahydrobenzo[c]chromen-1-ol', 'type': 'small molecule', 'function': 'Agonist'}]",
6IBL,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.7,2019-01-09,X-ray diffraction,Active,9.42,https://dx.doi.org/10.1101/436212,"[{'name': 'Formoterol', 'type': 'small molecule', 'function': 'Agonist'}]",
5XF1,glr_human,002_001_003_005,Homo sapiens,B,3.19,2017-05-24,X-ray diffraction,Inactive,-4.75,https://dx.doi.org/10.1038/NATURE22363,"[{'name': 'NNC0640', 'type': 'small molecule', 'function': 'NAM'}]",
5K2B,aa2ar_human,001_006_001_002,Homo sapiens,A,2.5,2016-09-21,X-ray diffraction,Inactive,-0.63,https://dx.doi.org/10.1126/SCIADV.1600292,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
5NJ6,par2_human,001_002_026_002,Homo sapiens,A,4.0,2017-05-03,X-ray diffraction,Intermediate,7.1,https://dx.doi.org/10.1038/NATURE22309,[],
6ME8,mtr1b_human,001_005_001_002,Homo sapiens,B,3.1,2019-04-24,X-ray diffraction,Inactive,-0.74,https://dx.doi.org/10.1038/S41586-019-1144-0,"[{'name': '2-phenylmelatonin', 'type': 'small molecule', 'function': 'Agonist'}]",
6B3J,glp1r_human,002_001_003_003,Homo sapiens,R,3.3,2018-02-21,Electron microscopy,Active,6.78,https://dx.doi.org/10.1038/NATURE25773,"[{'name': 'Exendin-P5', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6WI9,sctr_human,002_001_003_006,Homo sapiens,R,4.3,2020-08-12,Electron microscopy,Active,5.83,https://dx.doi.org/10.1038/S41467-020-17791-4,"[{'name': 'secretin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6LRY,ednrb_human,001_002_007_002,Homo sapiens,A,3.0,2020-02-12,X-ray diffraction,Inactive,2.23,https://dx.doi.org/10.1016/J.BBRC.2019.12.091,"[{'name': 'Sarafotoxin S6b', 'type': 'peptide', 'function': 'Agonist'}]",
7DFP,drd2_human,001_001_004_002,Homo sapiens,A,3.1,2020-12-30,X-ray diffraction,Inactive,-1.8,https://dx.doi.org/10.1038/S41467-020-20221-0,"[{'name': 'Spiperone', 'type': 'small molecule', 'function': 'Antagonist'}]",
7EB2,gabr2_human,004_002_001_003,Homo sapiens,D,3.5,2021-05-05,Electron microscopy,Active,6.82,https://dx.doi.org/10.1038/S41586-021-03507-1,"[{'name': 'BHFF', 'type': 'small molecule', 'function': 'PAM'}, {'name': 'Baclofen', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'Y'}}}"
3DQB,opsd_bovin,001_009_001_001,Bos taurus,A,3.2,2008-09-23,X-ray diffraction,Active,8.59,https://dx.doi.org/10.1038/NATURE07330,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
5WF6,aa2ar_human,001_006_001_002,Homo sapiens,A,2.9,2018-02-21,X-ray diffraction,Active,5.83,https://dx.doi.org/10.1016/J.STR.2017.12.013,"[{'name': 'UK-432097', 'type': 'small molecule', 'function': 'Agonist'}]",
3D4S,adrb2_human,001_001_003_008,Homo sapiens,A,2.8,2008-06-17,X-ray diffraction,Inactive,-1.53,https://dx.doi.org/10.1016/J.STR.2008.05.001,"[{'name': 'Timolol', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
5YC8,acm2_human,001_001_002_002,Homo sapiens,A,2.5,2018-11-21,X-ray diffraction,Inactive,1.05,https://dx.doi.org/10.1038/S41589-018-0152-Y,"[{'name': 'N-methyl scopolamine', 'type': 'small molecule', 'function': 'Antagonist'}]",
6OS9,ntr1_human,001_002_021_001,Homo sapiens,R,3.0,2019-07-10,Electron microscopy,Active,7.04,https://dx.doi.org/10.1038/S41586-019-1337-6,"[{'name': 'JMV449', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
7MBX,cckar_human,001_002_005_001,Homo sapiens,R,1.95,2021-05-26,Electron microscopy,Active,7.95,,"[{'name': 'Cholecystokinin-8', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6H7J,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.8,2018-10-17,X-ray diffraction,Active,9.27,https://dx.doi.org/10.1126/SCIENCE.AAU5595,"[{'name': 'Isoprenaline', 'type': 'small molecule', 'function': 'Agonist'}]",
6OS0,agtr1_human,001_002_001_001,Homo sapiens,A,2.9,2020-02-19,X-ray diffraction,Active,8.04,https://dx.doi.org/10.1126/SCIENCE.AAY9813,"[{'name': 'Angiotensinogen', 'type': 'peptide', 'function': 'Agonist'}]",
5V56,smo_human,006_001_001_011,Homo sapiens,B,2.9,2017-05-24,X-ray diffraction,Inactive,-1.89,https://dx.doi.org/10.1038/NCOMMS15383,"[{'name': 'N-methyl-N-[1-[4-(2-methylpyrazol-3-yl)phthalazin-1-yl]piperidin-4-yl]-4-nitro-2-(trifluoromethyl)benzamide', 'type': 'small molecule', 'function': 'Antagonist'}]",
4NC3,5ht2b_human,001_001_001_007,Homo sapiens,A,2.8,2013-12-18,X-ray diffraction,Intermediate,3.09,https://dx.doi.org/10.1126/SCIENCE.1244142,"[{'name': 'Ergotamine', 'type': 'small molecule', 'function': 'Agonist'}]",
4XT3,us28_hcmva,001_012_001_001,Human cytomegalovirus,A,3.8,2015-03-04,X-ray diffraction,Active,8.85,https://dx.doi.org/10.1126/SCIENCE.AAA5026,"[{'name': 'Fractalkine', 'type': 'protein', 'function': 'Agonist (partial)'}]",
7MT9,opsd_bovin,001_009_001_001,Bos taurus,R,7.0,2021-07-07,Electron microscopy,Active,10.61,https://dx.doi.org/10.1038/S41586-021-03721-X,"[{'name': 'Retinal (all-trans)', 'type': 'small molecule', 'function': 'Agonist'}]",
7EPD,grm2_human,004_002_002_002,Homo sapiens,A,3.9,2021-06-23,Electron microscopy,Inactive,4.98,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
6FKD,opsd_bovin,001_009_001_001,Bos taurus,A,2.49,2018-04-04,X-ray diffraction,Active,7.92,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""5-chloranyl-2-(2-oxidanylidene-2-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-ethyl)-3~{H}-pyridin-6-one"", 'type': 'small molecule', 'function': 'Agonist'}]",
3PDS,adrb2_human,001_001_003_008,Homo sapiens,A,3.5,2011-01-12,X-ray diffraction,Inactive,-0.96,https://dx.doi.org/10.1038/NATURE09665,"[{'name': 'FAUC50', 'type': 'small molecule', 'function': 'Agonist'}]",
5VRA,aa2ar_human,001_006_001_002,Homo sapiens,A,2.35,2017-12-13,X-ray diffraction,Inactive,-0.39,https://dx.doi.org/10.1038/NPROT.2017.135,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
4U15,acm3_rat,001_001_002_003,Rattus norvegicus,B,2.8,2014-11-26,X-ray diffraction,Inactive,0.5,https://dx.doi.org/10.1016/J.STR.2014.08.022,"[{'name': 'Tiotropium', 'type': 'small molecule', 'function': 'Antagonist'}]",
6AQF,aa2ar_human,001_006_001_002,Homo sapiens,A,2.51,2018-01-10,X-ray diffraction,Inactive,-0.44,https://dx.doi.org/10.1016/J.CELL.2017.12.004,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
7DTV,casr_human,004_001_001_001,Homo sapiens,A,3.5,2021-03-10,Electron microscopy,Inactive,3.84,https://dx.doi.org/10.1038/S41422-021-00474-0,"[{'name': 'Calcium ion', 'type': 'ion', 'function': 'Agonist'}, {'name': 'Tryptophan', 'type': 'amino acid', 'function': 'PAM'}]",
3NYA,adrb2_human,001_001_003_008,Homo sapiens,A,3.16,2010-08-11,X-ray diffraction,Inactive,-1.28,https://dx.doi.org/10.1021/JA105108Q,"[{'name': '(S)-Alprenolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
3KJ6,adrb2_human,001_001_003_008,Homo sapiens,A,3.4,2010-02-16,X-ray diffraction,Inactive,-2.18,https://dx.doi.org/10.1038/NATURE08650,[],
2J4Y,opsd_bovin,001_009_001_001,Bos taurus,B,3.4,2007-09-25,X-ray diffraction,Inactive,-0.41,https://dx.doi.org/10.1016/J.JMB.2007.03.007,"[{'name': 'Retinal (11-cis)', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
7D76,agrg3_human,003_001_008_003,Homo sapiens,R,3.1,2021-02-03,Electron microscopy,Active,6.36,https://dx.doi.org/10.1038/S41586-020-03083-W,"[{'name': 'Beclomethasone', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnao_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
5CGD,grm5_human,004_002_002_005,Homo sapiens,A,2.6,2015-08-12,X-ray diffraction,Inactive,4.13,https://dx.doi.org/10.1021/ACS.JMEDCHEM.5B00892,"[{'name': 'Q27455393', 'type': 'small molecule', 'function': 'NAM'}]",
2I35,opsd_bovin,001_009_001_001,Bos taurus,A,3.8,2006-10-17,X-ray diffraction,Inactive,-0.33,https://dx.doi.org/10.1073/PNAS.0608022103,"[{'name': 'Retinal (11-cis)', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
4XES,ntr1_rat,001_002_021_001,Rattus norvegicus,A,2.6,2015-07-29,X-ray diffraction,Active,6.03,https://dx.doi.org/10.1038/NCOMMS8895,"[{'name': 'neurotensin', 'type': 'peptide', 'function': 'Agonist'}]",
6E59,nk1r_human,001_002_029_001,Homo sapiens,A,3.4,2018-12-12,X-ray diffraction,Inactive,-0.46,https://dx.doi.org/10.1073/PNAS.1812717115,"[{'name': 'L760735', 'type': 'small molecule', 'function': 'Antagonist'}]",
6OBA,adrb2_human,001_001_003_008,Homo sapiens,A,3.1,2020-03-25,X-ray diffraction,Inactive,-0.85,https://dx.doi.org/10.1038/S41589-020-0549-2,"[{'name': '6-bromo-N~2~-phenylquinazoline-2,4-diamine', 'type': 'small molecule', 'function': 'NAM'}, {'name': '(S)-Alprenolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
6C1Q,c5ar1_human,001_002_006_002,Homo sapiens,B,2.9,2018-05-30,X-ray diffraction,Inactive,-1.37,https://dx.doi.org/10.1038/S41594-018-0067-Z,"[{'name': 'PMX53', 'type': 'peptide', 'function': 'Antagonist'}, {'name': 'NDT 9513727', 'type': 'small molecule', 'function': 'NAM'}]",
7E2Y,5ht1a_human,001_001_001_001,Homo sapiens,R,3.0,2021-04-14,Electron microscopy,Active,10.13,https://dx.doi.org/10.1038/S41586-021-03376-8,"[{'name': 'Serotonin', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7DD7,casr_human,004_001_001_001,Homo sapiens,B,3.2,2021-06-16,Electron microscopy,Active,4.04,https://dx.doi.org/10.1126/SCIADV.ABG1483,"[{'name': 'Calcium ion', 'type': 'ion', 'function': 'Agonist'}, {'name': 'Tryptophan', 'type': 'amino acid', 'function': 'PAM'}, {'name': 'Evocalcet', 'type': 'small molecule', 'function': 'PAM'}]",
6PS6,adrb2_human,001_001_003_008,Homo sapiens,A,2.7,2019-11-13,X-ray diffraction,Inactive,-1.23,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': 'Timolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
7BU7,adrb1_human,001_001_003_007,Homo sapiens,A,2.6,2020-12-02,X-ray diffraction,Active,10.05,https://dx.doi.org/10.1038/S41422-020-00424-2,"[{'name': 'BI-167107', 'type': 'small molecule', 'function': 'Agonist'}]",
5NLX,aa2ar_human,001_006_001_002,Homo sapiens,A,2.14,2017-09-27,X-ray diffraction,Inactive,-0.71,https://dx.doi.org/10.1038/S41467-017-00630-4,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
6Z10,sucr1_rat,001_008_003_001,Rattus norvegicus,A,2.27,2020-09-16,X-ray diffraction,Intermediate,8.41,https://dx.doi.org/10.1021/ACS.JMEDCHEM.0C01020,"[{'name': '2-[2-[[3-[4-chloranyl-2-fluoranyl-5-[(3~{R})-piperidin-3-yl]oxy-phenyl]-2-fluoranyl-phenyl]carbonylamino]-5-fluoranyl-phenyl]ethanoic acid', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PS8,mtr1a_human,001_005_001_001,Homo sapiens,A,3.3,2019-11-13,X-ray diffraction,Inactive,-0.95,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': '2-phenylmelatonin', 'type': 'small molecule', 'function': 'Agonist'}]",
6ME9,mtr1b_human,001_005_001_002,Homo sapiens,B,3.3,2019-04-24,X-ray diffraction,Inactive,-0.52,https://dx.doi.org/10.1038/S41586-019-1144-0,"[{'name': 'Ramelteon', 'type': 'small molecule', 'function': 'Agonist'}]",
5UVI,aa2ar_human,001_006_001_002,Homo sapiens,A,3.2,2017-05-24,X-ray diffraction,Inactive,-0.58,https://dx.doi.org/10.1107/S205225251700570X,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
3ZPR,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,2.7,2013-04-03,X-ray diffraction,Inactive,-1.11,https://dx.doi.org/10.1021/JM400140Q,"[{'name': '4-Methyl-2-piperazin-1-yl-quinoline', 'type': 'small molecule', 'function': 'Antagonist'}]",
6IGK,ednrb_human,001_002_007_002,Homo sapiens,A,2.0,2018-11-21,X-ray diffraction,Inactive,2.18,https://dx.doi.org/10.1038/S41467-018-07094-0,"[{'name': 'endothelin-3', 'type': 'peptide', 'function': 'Agonist'}]",
4JKV,smo_human,006_001_001_011,Homo sapiens,A,2.45,2013-04-24,X-ray diffraction,Inactive,-2.2,https://dx.doi.org/10.1038/NATURE12167,"[{'name': 'Taladegib', 'type': 'small molecule', 'function': 'Antagonist'}]",
5DYS,opsd_bovin,001_009_001_001,Bos taurus,A,2.3,2016-08-10,X-ray diffraction,Active,7.7,https://dx.doi.org/10.15252/EMBR.201642671,"[{'name': 'Retinal (all-trans)', 'type': 'small molecule', 'function': 'Agonist'}]",
6PS5,adrb2_human,001_001_003_008,Homo sapiens,A,2.9,2019-11-13,X-ray diffraction,Inactive,-1.31,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': '(S)-Propranolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
6RZ8,cltr2_human,001_004_002_004,Homo sapiens,A,2.7,2019-12-11,X-ray diffraction,Intermediate,4.87,https://dx.doi.org/10.1038/S41467-019-13348-2,"[{'name': 'ONO-2080365', 'type': 'small molecule', 'function': 'Antagonist'}]",
7BU6,adrb1_human,001_001_003_007,Homo sapiens,A,2.7,2020-12-02,X-ray diffraction,Active,10.05,https://dx.doi.org/10.1038/S41422-020-00424-2,"[{'name': 'noradrenaline', 'type': 'small molecule', 'function': 'Agonist'}]",
6FKC,opsd_bovin,001_009_001_001,Bos taurus,A,2.46,2018-04-04,X-ray diffraction,Active,7.84,https://dx.doi.org/10.1073/PNAS.1718084115,"[{'name': ""3-[1'-[(2~{S})-2-(4-chlorophenyl)-3-methyl-butanoyl]spiro[1,3-benzodioxole-2,4'-piperidine]-5-yl]propanoic acid"", 'type': 'small molecule', 'function': 'Agonist'}]",
7ARO,aa2ar_human,001_006_001_002,Homo sapiens,A,3.12,2021-04-07,X-ray diffraction,Inactive,-0.63,https://dx.doi.org/10.1021/ACS.JMEDCHEM.0C01856,"[{'name': '2-Amino-6-(1H-imidazol-2-ylmethylsulfanyl)-4-phenyl-pyridine-3,5-dicarbonitrile', 'type': 'small molecule', 'function': 'Agonist (partial)'}]",
2YCW,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,3.0,2011-06-01,X-ray diffraction,Inactive,-1.08,https://dx.doi.org/10.1073/PNAS.1100185108,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
3NY9,adrb2_human,001_001_003_008,Homo sapiens,A,2.84,2010-08-11,X-ray diffraction,Inactive,-1.49,https://dx.doi.org/10.1021/JA105108Q,"[{'name': 'Q27461782', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
4N4W,smo_human,006_001_001_011,Homo sapiens,A,2.8,2014-01-22,X-ray diffraction,Inactive,-1.76,https://dx.doi.org/10.1038/NCOMMS5355,"[{'name': 'Sant-1', 'type': 'small molecule', 'function': 'Antagonist'}]",
5YQZ,glr_human,002_001_003_005,Homo sapiens,R,3.0,2018-01-17,X-ray diffraction,Inactive,-4.97,https://dx.doi.org/10.1038/NATURE25153,"[{'name': 'NNC1702', 'type': 'peptide', 'function': 'Agonist (partial)'}]",
6GPX,ccr2_human,001_003_002_002,Homo sapiens,B,2.7,2019-01-02,X-ray diffraction,Inactive,0.58,https://dx.doi.org/10.1016/J.STR.2018.10.027,"[{'name': 'MK-0812', 'type': 'small molecule', 'function': 'Antagonist'}]",
6ME7,mtr1b_human,001_005_001_002,Homo sapiens,A,3.2,2019-04-24,X-ray diffraction,Inactive,-1.01,https://dx.doi.org/10.1038/S41586-019-1144-0,"[{'name': '2-phenylmelatonin', 'type': 'small molecule', 'function': 'Agonist'}]",
7L0P,ntr1_rat,001_002_021_001,Rattus norvegicus,C,4.1,2021-01-06,Electron microscopy,Active,3.35,,"[{'name': 'neurotensin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg1_human', 'chain': 'G'}}}"
6H7L,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.7,2018-10-17,X-ray diffraction,Active,9.24,https://dx.doi.org/10.1126/SCIENCE.AAU5595,"[{'name': 'Dobutamine', 'type': 'N/A', 'function': 'Agonist'}]",
7C6A,agtr2_human,001_002_001_002,Homo sapiens,A,3.4,2020-07-29,X-ray diffraction,Active,7.97,https://dx.doi.org/10.1038/S41598-020-68355-X,"[{'name': '(Sar1,Ile8)-Angiotensin II', 'type': 'peptide', 'function': 'Agonist'}]",
5T04,ntr1_rat,001_002_021_001,Rattus norvegicus,A,3.3,2016-12-21,X-ray diffraction,Active,8.26,https://dx.doi.org/10.1038/SREP38564,"[{'name': 'neurotensin', 'type': 'peptide', 'function': 'Agonist'}]",
7DH5,adrb3_canlf,001_001_003_009,Canis lupus familiaris,R,3.16,2021-08-04,Electron microscopy,Active,,https://dx.doi.org/10.1016/J.MOLCEL.2021.06.024,"[{'name': 'Mirabegron', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
7KH0,v2r_human,001_002_032_003,Homo sapiens,R,2.8,2021-05-26,Electron microscopy,Active,8.96,https://dx.doi.org/10.1038/S41422-021-00483-Z,"[{'name': 'Argipressin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7DB6,mtr1a_human,001_005_001_001,Homo sapiens,D,3.3,2021-08-18,Electron microscopy,Active,8.17,https://dx.doi.org/10.1038/S41594-021-00634-1,"[{'name': 'Ramelteon', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'C'}}}"
